"y","x","date","subcat","cat"
30.774888,30.997073,"2011-02-15 23:21:00",109,108
30.965365,31.168313,"2011-02-17 13:58:00",109,108
26.76806,31.49389,"2011-02-17 13:03:00",109,108
27.258388,33.812353,"2011-02-17 13:06:00",104,101
30.0735,31.34828,"2011-02-18 00:04:00",104,101
30.130695,31.318138,"2011-02-18 23:24:00",38,32
30.008016,31.19373,"2011-02-19 13:19:00",39,32
30.772675,30.993726,"2011-02-19 13:09:00",117,113
30.043611,31.282629,"2011-02-19 13:25:00",109,108
29.991737,31.378759,"2011-02-20 10:31:00",22,101
29.996169,31.165689,"2011-02-21 13:49:00",22,101
30.084616,31.530937,"2011-02-21 22:40:00",31,118
29.969763,31.268893,"2011-02-22 01:52:00",114,113
31.250833,29.976462,"2011-02-22 12:43:00",39,32
30.027264,31.347345,"2011-02-22 12:43:00",43,32
31.19806,29.91917,"2011-02-22 13:37:00",104,101
30.156435,31.280483,"2011-02-22 13:09:00",37,32
31.250879,29.976344,"2011-02-22 13:12:00",39,32
31.245916,29.973136,"2011-02-23 10:50:00",39,32
31.269836,30.006503,"2011-02-23 13:11:00",43,32
30.016894,31.377034,"2011-02-22 23:00:00",109,108
30.024069,31.358235,"2011-02-23 13:45:00",31,118
30.05851,31.201082,"2011-02-23 22:48:00",109,108
30.052415,31.246237,"2011-02-23 23:33:00",104,101
30.064413,31.156286,"2011-02-24 11:19:00",22,101
29.973151,31.264433,"2011-02-24 12:30:00",104,101
31.215248,29.94121,"2011-02-24 13:06:00",39,32
31.317548,30.061516,"2011-02-24 13:39:00",38,32
31.318868,30.060829,"2011-02-24 13:43:00",38,32
31.227166,29.999207,"2011-02-24 13:17:00",104,101
31.249542,29.980223,"2011-02-24 13:21:00",117,113
31.241596,29.963469,"2011-02-24 13:23:00",39,32
31.228597,29.950756,"2011-02-24 13:54:00",38,32
31.179116,29.874538,"2011-02-24 13:51:00",38,32
31.128551,29.780688,"2011-02-24 13:08:00",39,32
31.124687,29.78287,"2011-02-24 13:16:00",31,118
29.978522,31.261873,"2011-02-24 13:38:00",109,108
30.104666,31.25585,"2011-02-24 13:52:00",104,101
30.79111,30.99806,"2011-02-24 13:34:00",114,113
31.19806,29.91917,"2011-02-24 23:02:00",39,32
31.2135,29.9443,"2011-02-24 23:10:00",114,113
30.785307,30.074767,"2011-02-24 23:29:00",114,113
29.983411,31.255764,"2011-02-24 23:52:00",109,108
31.027335,30.466877,"2011-02-25 01:45:00",114,113
31.03333,30.46667,"2011-02-25 13:33:00",109,108
30.088459,31.330887,"2011-02-25 13:16:00",22,101
31.266922,29.994289,"2011-02-26 01:01:00",109,108
31.202026,29.920357,"2011-02-26 01:25:00",39,32
29.975902,31.103043,"2011-02-26 13:58:00",39,32
30.129934,31.262692,"2011-02-27 13:32:00",109,108
31.19806,29.91917,"2011-02-27 13:03:00",39,32
31.210809,29.920544,"2011-02-27 13:38:00",39,32
30.14573,31.401125,"2011-02-28 13:22:00",43,32
30.079863,31.24967,"2011-02-28 13:40:00",109,108
31.222197,29.941593,"2011-02-28 13:49:00",38,32
31.222136,29.942624,"2011-02-28 13:53:00",39,32
31.296683,30.061517,"2011-02-28 22:54:00",104,101
31.3007,30.056538,"2011-03-01 01:10:00",38,32
29.969508,31.239413,"2011-03-01 01:01:00",104,101
31.243183,29.967611,"2011-03-01 13:15:00",39,32
29.836548,31.317648,"2011-03-01 23:29:00",104,101
29.877681,31.313605,"2011-03-03 13:05:00",22,101
31.318327,30.060518,"2011-03-04 11:44:00",38,32
31.252379,29.980317,"2011-03-05 13:14:00",39,32
31.250352,29.976969,"2011-03-02 14:00:00",104,101
31.32194,30.06083,"2011-03-06 01:23:00",114,113
31.104121,29.754439,"2011-03-06 12:06:00",39,32
30.145413,31.340261,"2011-03-06 13:37:00",117,113
30.55861,31.01,"2011-03-06 13:05:00",114,113
30.788334,30.998502,"2011-03-07 01:06:00",104,101
30.172313,31.555864,"2011-03-07 01:14:00",22,101
31.19806,29.91917,"2011-03-07 12:57:00",109,108
30.092803,31.301282,"2011-03-07 13:30:00",104,101
24.084699,32.908998,"2011-03-08 01:30:00",109,108
31.2135,29.9443,"2011-03-08 01:33:00",109,108
30.108416,31.378244,"2011-03-09 13:04:00",22,101
31.32194,30.06083,"2011-03-11 01:29:00",114,113
31.22332,29.935405,"2011-03-11 22:38:00",39,32
30.00389,31.16306,"2011-03-13 10:30:00",109,108
31.2135,29.9443,"2011-03-15 01:51:00",39,32
29.996049,30.989689,"2011-03-16 01:23:00",39,32
30.253071,31.460666,"2011-03-17 01:06:00",115,113
30.137596,31.360163,"2011-03-18 11:20:00",22,101
29.312592,30.845893,"2011-03-19 13:18:00",115,113
31.040358,31.349148,"2011-03-20 11:29:00",109,108
31.000491,31.319193,"2011-03-20 11:40:00",37,32
30.182959,31.022042,"2011-03-20 13:03:00",38,32
30.919975,30.988225,"2011-03-20 22:30:00",22,101
30.049666,31.133899,"2011-03-21 13:50:00",37,32
31.209274,29.948817,"2011-03-22 13:15:00",38,32
30.796365,31.00256,"2011-03-22 13:18:00",39,32
31.0413,31.3799,"2011-03-22 22:26:00",38,32
30.037946,31.246044,"2011-03-22 22:39:00",109,108
31.19806,29.91917,"2011-03-22 22:46:00",109,108
31.220547,29.941377,"2011-03-22 22:45:00",38,32
31.19806,29.91917,"2011-03-22 22:48:00",38,32
24.0875,32.89889,"2011-03-22 23:08:00",109,108
31.19806,29.91917,"2011-03-22 23:08:00",43,32
30.964804,31.169408,"2011-03-22 23:14:00",104,101
31.204165,29.877905,"2011-03-22 23:26:00",38,32
31.083202,31.491318,"2011-03-22 23:43:00",114,113
30.511732,31.696744,"2011-03-22 23:42:00",37,32
30.929807,31.726425,"2011-03-22 23:57:00",104,101
31.41944,31.815,"2011-03-23 00:17:00",116,113
31.250851,29.976462,"2011-03-23 00:13:00",39,32
31.257248,29.98832,"2011-03-23 00:13:00",117,113
30.97611,31.16694,"2011-03-23 01:07:00",104,101
31.04306,31.37667,"2011-03-23 01:18:00",109,108
30.75417,31.44056,"2011-03-23 01:49:00",104,101
30.519162,31.709036,"2011-03-23 12:16:00",109,108
28.105813,30.750557,"2011-03-23 12:27:00",104,101
30.002069,31.191621,"2011-03-23 13:08:00",38,32
30.647465,31.634014,"2011-03-23 13:56:00",104,101
30.006133,31.157406,"2011-03-24 13:45:00",109,108
27.64139,30.84944,"2011-03-24 13:59:00",109,108
31.19806,29.91917,"2011-03-25 22:45:00",109,108
30.67,31.58722,"2011-03-25 22:53:00",37,32
31.200818,29.901572,"2011-03-25 23:27:00",109,108
29.996824,31.231785,"2011-03-26 13:44:00",104,101
31.202225,29.983296,"2011-03-27 22:10:00",104,101
30.035531,31.214705,"2011-03-29 01:58:00",114,113
30.67,31.58722,"2011-03-30 01:15:00",104,101
30.732662,31.719546,"2011-03-30 01:22:00",114,113
30.549431,31.78344,"2011-03-30 01:09:00",104,101
27.874975,34.289266,"2011-03-30 01:21:00",104,101
29.05044,33.104599,"2011-03-30 01:22:00",22,101
29.81667,31.05,"2011-03-29 09:40:00",104,101
30.59139,31.51028,"2011-03-31 00:03:00",117,113
30.122689,31.300374,"2011-03-31 10:40:00",109,108
30.095644,31.242181,"2011-04-02 13:29:00",104,101
31.2135,29.9443,"2011-04-03 10:24:00",39,32
